rowcode	jul24	aug24	sep24
22119020	4.82	4.82	4.82				
22121031	55	55	55				
22123036	35	35	35				
22125029	42	42	42				
22127085	34	34	34				
22127067	69	69	69				
22129028	68	68	68				
22132021	18	18	18				
22134023	120	120	120				
22135034	70	70	70				
22135050	31	31	31				
22137021	35	35	35				
22138022	35	35	35				
22139024	22	22	22				
22140025	27	27	27				
22141021	36	36	36				
22142026	8	8	8				
22144022	50	100	65				
22145017	30	30	30				
22146040	30	30	30				
22148022	25	25	25				
22149022	7	7	7				
22151018	2.5	2.5	2.5				
21155023	7	7	7				
22156048	55	55	55				
22156049	80	80	80				
22159024	85	85	85				
22159025	150	150	150				
22160021	95	95	95				
22163029	43.25	43.25	43.25				
22166024	5	5	5				
22169023	13	13	13				
22172021	40	40	40				
22192006	150	150	150				
22193004	140	140	140				
22194005	160	160	160				
22195008	145	145	145				
22196006	190	190	190				
22197005	25	25	25				
22199003	330	330	330				
22200005	120	120	120				
22201005	69	69	69				
22202006	30	30	30				
22203003	890	890	890				
22205007	70	70	70				
22206004	85	85	85				
22270010	3590	3590	3590				
22271010	7990	7990	7990				
22271011	3690	3690	3690				
22272005	4890	4890	4890				
22273007	18040	18040	18040				
22274006	1700	1700	1700				
22275007	13590	13590	13590				
22544002	295	295	295				
22279011	130	130	130				
22283007	25990	25990	25990				
22283008	6830	6830	6836				
22285004	1000	1000	1000				
22286005	4590	4590	4590				
22296004	2490	2490	2490				
22288006	11590	11590	11590				
22291005	6890	6890	6890				
22294004	530	530	530				
22295003	1995	1995	1995				
22297005	1290	1290	1290				
22299002	710	710	710				
22548012	450	450	450				
22550005	27	27	27				
22551007	14	14	14				
22553005	790	790	790				
22553006	140	140	140				
22313021	38	38	38				
22314035	30	30	30				
22315022	35	35	35				
22316022	39	39	39				
22317037	48	48	48				
22318019	48	48	48				
22320025	62	62	62				
22406006	33990	33990	33990				
22406007	12815	12815	12815				
22423008	1450	1450	1450				
22492028	20	20	20				
22492029	15	15	15				
22493035	40	40	40				
22494046	50	50	50				
22495028	43.5	43.5	43.5				
22496032	62	62	62				
22497031	8.4	8.4	8.4				
22498038	35	35	35				
22499037	88	88	88				
22500020	38	38	38				
22501017	40	40	40				
22502041	26.5	26.5	26.5				
22502042	34	34	34				
22504042	35	35	35				
22504044	52	52	52				
22505048	38	38	38				
22506023	44	44	44				
22507019	23.32	23.32	23.32				
22508019	38	38	38				
22509001	35	35	35				
22510041	175	175	175				
22510047	170	170	170				
22511034	34	34	34				
22511050	30.75	30.75	30.75				
22512026	25	25	25				
22512027	23	23	23				
22513032	22	22	22				
22514038	28	28	28				
22515037	45	45	45				
22516028	55	55	55				
22533008	215	215	215				
22535006	290	290	290				
22536006	75	75	75				
22221005	380	380	380				
22223007	75	75	75				
22225006	45	45	45				
22226004	380	380	380				
22231007	99	99	99				
